x,y,ndvi,bld_density,dist_water_m,impervious,elevation_m,lst_c
9567.2,1950.6,0.5541,0.0346,11754.7,0.2292,23.36,21.685
815.7,7015.4,0.6305,0.2729,3551.2,0.4185,29.27,20.925
11529.5,6736.5,0.5534,0.1184,10712.3,0.374,59.24,21.62
7910.5,4238.4,0.6926,0.4594,8961.1,0.4982,37.79,24.854
8625.3,7077.9,0.7173,0.4581,7904.5,0.599,47.82,24.241
8922.9,1027.6,0.3731,0.0,12034.3,0.207,23.08,22.887
10652.8,8807.6,0.4609,0.1279,9308.0,0.4794,56.59,22.455
1607.3,2864.4,0.5819,0.1725,7636.3,0.3319,36.37,23.308
9323.7,9562.0,0.6561,0.1822,7879.7,0.391,62.2,22.4
10055.9,903.2,0.437,0.0,12857.0,0.2379,25.36,21.257
9951.7,1615.6,0.5326,0.0013,12262.3,0.1574,20.23,21.189
349.9,7344.1,0.5754,0.2232,3358.9,0.4578,31.16,20.907
4684.5,1333.8,0.3222,0.2305,9703.7,0.3051,28.42,23.176
5247.0,4399.3,0.7631,0.6453,7159.5,0.561,29.34,26.8
6247.6,2800.2,0.4784,0.3954,9045.8,0.4403,24.63,23.356
5914.5,1142.8,0.2473,0.1765,10346.2,0.2569,28.34,25.678
1565.2,8629.1,0.5423,0.3209,1872.0,0.4619,30.51,22.023
11812.6,370.4,0.3978,0.0,14455.4,0.2663,28.02,22.447
788.4,1508.2,0.3765,0.0729,9019.9,0.3282,34.37,22.66
6951.4,9945.2,0.8455,0.3616,5479.6,0.3952,57.62,23.412
6969.3,5478.6,0.7543,0.6863,7424.8,0.6965,34.9,28.68
11452.1,7578.0,0.4584,0.1113,10372.1,0.4146,56.65,21.81
2369.3,4068.5,0.7826,0.3272,6490.0,0.4412,29.35,22.364
999.9,5402.7,0.6928,0.252,5121.8,0.4,25.92,22.216
10606.4,10504.1,0.4565,0.0544,9106.4,0.4018,56.16,21.646
188.4,3394.2,0.4801,0.0962,7225.8,0.2573,29.17,19.773
9547.1,9775.0,0.6271,0.1486,8079.7,0.462,60.89,22.116
9218.3,2900.2,0.6539,0.1479,10831.8,0.3359,30.57,22.2
10464.5,444.6,0.3947,0.0,13471.2,0.1793,23.57,21.787
10993.3,8422.5,0.4356,0.1197,9718.0,0.4689,57.47,22.244
3285.8,7604.5,0.7173,0.5688,3401.9,0.5182,24.86,23.676
2836.6,8584.3,0.5771,0.4705,2335.9,0.5194,32.53,22.579
3726.2,9244.6,0.5555,0.5114,2555.8,0.5237,36.8,22.439
8587.7,9036.1,0.7301,0.3017,7237.3,0.5245,51.07,22.186
992.8,6881.5,0.6541,0.2921,3653.9,0.3522,22.44,22.051
8105.8,8316.2,0.7429,0.4343,6957.5,0.5558,50.33,24.053
10302.3,7703.2,0.5641,0.2081,9235.9,0.5155,54.82,22.449
8314.8,9157.1,0.7603,0.3186,6945.8,0.4582,52.05,22.096
9421.0,1726.6,0.5101,0.0219,11820.1,0.1724,21.31,20.791
4239.4,7893.9,0.7126,0.6506,3781.0,0.6027,29.82,25.11
2642.3,3856.4,0.775,0.343,6741.1,0.4082,35.15,22.948
2944.5,2572.7,0.593,0.2691,8057.9,0.4501,36.25,22.584
8729.0,4869.4,0.7635,0.4124,9163.0,0.4987,38.98,24.171
769.5,8654.5,0.5257,0.2344,1984.8,0.407,32.99,19.851
5444.8,9096.3,0.7151,0.5716,4187.1,0.5423,43.17,24.087
5852.1,1264.3,0.2627,0.1938,10209.8,0.2937,30.7,25.424
7690.5,4247.9,0.6842,0.4879,8798.4,0.454,34.87,25.121
1274.0,5153.7,0.7269,0.2695,5351.1,0.393,33.33,21.786
6883.3,9606.2,0.827,0.4122,5457.0,0.5207,53.01,22.588
11524.1,6515.2,0.5826,0.1204,10787.1,0.4516,57.81,22.098
6188.2,2524.9,0.4359,0.3545,9251.0,0.3861,25.49,23.419
6837.9,5018.9,0.7357,0.6653,7650.8,0.6566,30.12,27.183
11856.1,4158.1,0.7533,0.0683,12143.6,0.3809,47.3,20.883
9994.5,6157.9,0.7235,0.2802,9539.9,0.4725,50.69,22.314
5977.7,1621.9,0.3057,0.2327,9943.3,0.3347,30.76,23.999
961.8,7752.4,0.5958,0.2817,2799.8,0.4148,26.23,20.674
10452.6,9262.8,0.4797,0.1193,9037.7,0.4226,59.3,21.132
8557.0,5853.7,0.7552,0.4873,8449.3,0.5738,42.95,25.24
8785.3,4414.9,0.752,0.3645,9492.4,0.4962,31.15,23.366
9883.4,11913.9,0.5721,0.0201,8501.8,0.3302,53.67,21.769
8939.8,11931.1,0.7242,0.041,7576.1,0.2714,52.18,20.576
4956.8,6884.5,0.8115,0.7476,5002.1,0.662,37.27,28.308
6176.5,8870.4,0.7673,0.566,4952.3,0.5485,45.93,25.252
10158.5,6972.7,0.6391,0.2491,9349.4,0.497,54.59,23.036
10306.3,8992.9,0.5049,0.1438,8934.4,0.3959,54.57,21.373
3726.0,2215.8,0.5131,0.2953,8578.1,0.3824,29.68,22.532
1432.6,1988.8,0.4638,0.1207,8511.5,0.4248,38.41,21.448
6251.5,5503.9,0.7801,0.7403,6894.8,0.7241,29.09,28.459
5387.4,2503.1,0.4634,0.3795,8891.7,0.4865,25.47,22.461
10767.4,4698.6,0.8034,0.1588,10933.5,0.4454,43.41,22.353
5917.2,4059.6,0.6789,0.6043,7809.6,0.6379,28.79,26.033
6053.7,2084.3,0.3704,0.2941,9568.7,0.3806,23.79,23.924
4381.5,4408.8,0.822,0.5923,6738.4,0.5523,26.7,25.695
9396.1,9280.1,0.6387,0.1989,7989.8,0.3985,52.53,21.128
11375.1,9368.6,0.3461,0.0661,9939.7,0.367,53.81,24.702
1560.2,8608.4,0.5441,0.3212,1892.6,0.4075,32.66,20.614
7933.4,2811.3,0.5312,0.2517,10025.2,0.3086,25.77,22.527
1964.8,10889.8,0.3772,0.2423,606.6,0.4743,46.04,20.873
3707.3,9633.2,0.5277,0.4785,2371.4,0.5334,40.19,22.933
11599.6,2777.9,0.7056,0.0312,12713.4,0.2224,35.07,21.626
5794.3,4995.8,0.7795,0.715,6981.2,0.61,31.32,27.917
6489.0,10790.6,0.8476,0.2962,4997.4,0.4125,55.79,22.249
8534.1,6536.4,0.7364,0.4908,8073.9,0.5068,49.51,24.985
8249.2,2789.2,0.5535,0.2179,10247.3,0.3171,25.22,22.016
443.6,10232.4,0.4275,0.1416,1089.7,0.3114,32.12,20.326
10658.0,1411.3,0.535,0.0,12902.5,0.2107,24.76,21.388
2263.0,3449.6,0.7037,0.2696,7091.6,0.3819,29.43,22.185
9384.3,11041.2,0.6754,0.0721,7902.9,0.3535,56.78,20.72
7727.1,8434.3,0.7649,0.4688,6560.8,0.5587,48.61,23.613
5824.8,975.7,0.2308,0.1623,10460.2,0.3025,28.53,25.346
11148.5,1451.4,0.548,0.0,13227.7,0.2279,24.3,21.029
3238.6,4139.7,0.8239,0.4396,6593.6,0.4888,34.31,24.363
9770.1,11955.2,0.59,0.0207,8397.2,0.3797,47.06,21.466
8340.5,6392.1,0.7435,0.5229,7979.2,0.6559,43.93,24.831
2826.4,10872.8,0.4055,0.3167,1377.8,0.4815,51.25,22.004
11439.6,5705.1,0.6891,0.1257,11035.7,0.3895,53.44,21.9
7025.2,2930.1,0.5006,0.3583,9371.8,0.4176,33.0,22.188
6996.8,3758.3,0.6147,0.4936,8698.6,0.4492,25.42,25.658
1886.5,7168.0,0.7047,0.3999,3354.3,0.4968,23.37,23.395
5102.9,5975.3,0.8473,0.7571,5783.9,0.5491,27.11,27.723
2820.3,9269.6,0.5046,0.4279,1804.7,0.5566,33.78,21.672
7206.1,11253.1,0.8813,0.1867,5755.6,0.3777,56.84,21.255
4327.3,437.4,0.2393,0.1448,10452.3,0.2707,38.09,25.539
2026.5,9793.1,0.4444,0.3128,881.4,0.483,36.4,21.151
4167.0,8531.7,0.6454,0.5994,3314.6,0.578,28.2,24.278
2574.2,3458.2,0.721,0.3036,7123.2,0.3871,35.73,22.497
9534.3,3761.2,0.7621,0.2121,10486.3,0.3885,31.05,21.301
9500.5,6889.8,0.6861,0.3374,8777.4,0.4938,53.04,22.903
1974.5,6032.8,0.7992,0.395,4492.3,0.45,20.27,23.397
9004.4,11032.6,0.7373,0.0895,7523.2,0.3598,55.71,21.602
670.8,3528.6,0.5508,0.1319,7020.6,0.3828,35.3,20.971
2789.6,9096.5,0.52,0.4355,1906.0,0.433,30.58,22.163
7801.2,11912.7,0.8433,0.0907,6457.6,0.33,63.18,21.405
8618.9,7389.5,0.7101,0.4417,7768.8,0.605,53.03,24.091
5760.6,7075.2,0.7876,0.7545,5466.4,0.7236,30.56,29.401
4051.4,10254.4,0.5353,0.4406,2563.2,0.5475,44.91,22.486
4676.5,7602.5,0.753,0.6986,4299.5,0.6379,33.84,26.632
10305.6,6724.5,0.6533,0.2368,9580.8,0.4618,54.56,21.626
6136.6,9273.8,0.7737,0.5173,4796.0,0.4488,50.49,23.663
10496.3,10421.0,0.4748,0.0616,8996.6,0.3776,57.59,20.739
11357.3,5372.8,0.7291,0.1279,11111.0,0.4075,54.81,22.577
11228.8,6710.2,0.5839,0.1429,10440.9,0.4262,58.28,22.476
5916.5,3752.8,0.6372,0.5603,8064.1,0.6114,29.12,25.873
7206.2,7957.7,0.7653,0.582,6246.9,0.6049,36.92,25.693
2486.0,9317.7,0.4904,0.3896,1539.5,0.4334,35.45,22.033
11474.3,578.3,0.4273,0.0,14068.6,0.281,24.59,21.244
11841.7,4327.4,0.752,0.0735,12043.7,0.2768,46.24,20.452
9952.5,7353.6,0.6225,0.2618,9019.2,0.526,57.47,22.829
6454.7,6183.7,0.783,0.7497,6571.1,0.6336,32.42,27.614
1002.5,4927.0,0.6829,0.229,5595.1,0.379,29.11,21.35
3766.6,9722.0,0.5277,0.4749,2396.4,0.5065,43.59,21.932
1273.4,64.7,0.2768,0.0547,10437.8,0.2766,42.4,25.249
2458.9,5404.2,0.8586,0.4309,5185.2,0.4421,20.99,23.582
3906.2,2308.4,0.5201,0.3157,8537.7,0.3307,34.56,22.165
6019.3,3180.0,0.5455,0.468,8602.7,0.4981,30.82,23.97
10539.8,4267.5,0.8131,0.1578,10980.1,0.3509,38.38,21.405
3132.1,1549.8,0.4296,0.2017,9097.8,0.3955,33.7,21.798
6361.6,2266.1,0.3936,0.3033,9562.1,0.4641,30.06,24.254
10126.4,6527.6,0.6835,0.2614,9497.1,0.4977,55.65,22.118
1638.8,3160.9,0.6205,0.191,7340.4,0.2706,26.52,21.914
4802.7,7829.3,0.7365,0.6898,4247.4,0.6214,38.74,26.215
6821.8,11851.1,0.8511,0.1579,5490.7,0.4125,58.85,21.492
2232.5,10593.1,0.3962,0.2852,738.4,0.48,40.55,21.225
164.6,8692.2,0.5084,0.1762,2247.5,0.3934,30.92,20.8
7113.5,10475.3,0.871,0.2805,5613.5,0.431,54.26,22.746
188.6,5904.7,0.5829,0.1907,4778.8,0.3359,34.97,20.809
7031.9,8364.0,0.7764,0.556,5930.0,0.59,44.34,24.906
4904.0,7943.4,0.7307,0.6851,4257.1,0.6338,28.4,26.925
2743.5,11798.4,0.3696,0.2388,1797.8,0.4363,52.92,22.353
2278.6,2019.0,0.5018,0.1782,8516.6,0.4077,30.88,22.455
10959.6,8422.6,0.4397,0.1221,9685.1,0.4046,62.59,22.284
7082.6,8735.8,0.7893,0.5056,5854.8,0.5474,48.83,24.691
2054.3,8140.8,0.6057,0.3982,2423.4,0.4238,28.67,21.425
8573.7,5782.9,0.7568,0.4831,8502.3,0.616,41.92,25.208
2861.4,960.4,0.3582,0.1482,9636.3,0.3406,42.34,23.402
11061.7,7170.9,0.5428,0.1505,10124.6,0.4454,51.48,21.862
8655.3,5383.0,0.7636,0.4558,8796.7,0.6051,35.96,24.543
8123.1,3151.1,0.5907,0.2829,9893.0,0.439,27.05,22.625
11841.7,7412.5,0.4385,0.0888,10792.8,0.4296,58.87,21.526
6476.9,10512.1,0.841,0.3312,4977.0,0.4601,56.52,22.8
5967.7,5167.0,0.7798,0.727,6957.1,0.5387,24.62,28.407
10777.5,2755.5,0.7193,0.0519,12085.1,0.2604,27.92,20.731
11538.3,8136.1,0.3946,0.0929,10312.9,0.3644,58.92,22.949
26.5,8500.6,0.5118,0.1702,2483.7,0.3344,28.14,20.357
9973.2,2400.0,0.6459,0.0559,11722.0,0.3245,30.07,20.864
6687.1,1668.8,0.3108,0.1934,10241.9,0.296,24.8,24.78
11220.2,7422.6,0.4988,0.132,10195.7,0.4542,55.75,21.725
8621.3,8278.0,0.7066,0.3719,7459.9,0.578,51.75,23.882
11497.0,5846.7,0.6684,0.1223,11027.0,0.4482,52.19,21.734
9109.8,5959.5,0.7528,0.4044,8861.5,0.5231,45.84,24.156
3166.7,7972.5,0.6651,0.5396,3027.6,0.5178,24.99,23.752
1629.0,2424.9,0.5287,0.1524,8076.1,0.3131,31.52,21.05
10819.1,7988.6,0.4866,0.1486,9651.5,0.4409,61.8,21.09
6192.9,1570.1,0.2957,0.2137,10087.9,0.311,25.9,25.499
10193.2,1853.8,0.5812,0.0115,12260.9,0.2238,19.78,20.407
663.6,1921.1,0.4053,0.0776,8619.6,0.3031,39.65,23.535
5159.4,190.0,0.1817,0.1139,10940.2,0.2521,26.03,26.678
2466.8,8495.6,0.5763,0.4324,2225.4,0.5364,29.2,21.541
10447.1,55.8,0.3474,0.0,13752.5,0.1999,21.94,23.948
8328.4,3787.6,0.6775,0.3494,9575.1,0.4549,23.76,23.546
749.2,4534.9,0.6297,0.1852,6012.1,0.3625,32.42,21.432
7377.2,605.9,0.2188,0.0349,11508.0,0.2439,22.99,25.646
10071.4,491.9,0.3838,0.0,13176.9,0.2777,20.08,22.341
405.4,6078.4,0.6113,0.216,4555.1,0.3903,23.01,20.623
7351.4,4393.1,0.6876,0.5459,8457.7,0.6063,33.84,25.247
11109.8,4689.7,0.7906,0.1303,11229.8,0.3497,41.5,22.129
1817.5,3071.4,0.6242,0.2017,7435.4,0.3681,31.71,20.858
8735.2,7421.2,0.7032,0.4229,7863.0,0.5974,55.59,24.777
1809.8,7838.7,0.6302,0.3784,2679.3,0.4239,29.49,21.857
10079.4,3856.1,0.7944,0.17,10851.2,0.2738,35.25,20.776
2191.4,4563.7,0.8094,0.3416,5976.4,0.3467,25.48,22.983
4693.2,6358.3,0.8508,0.7375,5229.8,0.6395,29.58,27.806
4322.4,4712.1,0.8532,0.6168,6439.4,0.5568,34.12,26.983
4775.3,4455.6,0.8023,0.6283,6874.8,0.6119,27.07,26.449
11882.6,9416.2,0.284,0.0459,10439.0,0.3735,53.37,24.248
2384.9,4852.8,0.8414,0.3862,5716.1,0.3627,26.85,22.627
4431.0,8722.7,0.6468,0.5986,3427.8,0.57,31.07,24.819
9232.7,9876.8,0.679,0.1635,7757.8,0.3657,57.85,20.797
5345.6,9068.6,0.7067,0.577,4103.4,0.6025,44.2,25.116
6675.2,10556.3,0.856,0.3091,5175.5,0.4332,57.17,22.255
9165.6,3962.4,0.7515,0.2715,10074.8,0.4083,34.47,22.939
11997.4,9085.5,0.2841,0.0491,10592.3,0.365,57.66,24.383
9815.1,8011.3,0.5962,0.2461,8679.6,0.4958,57.51,23.293
5267.5,8461.3,0.7174,0.6441,4283.7,0.6971,42.61,26.148
4103.7,3258.4,0.6743,0.4373,7695.5,0.5033,26.21,23.426
4032.1,6188.5,0.8755,0.6721,5000.1,0.6255,28.12,26.565
10553.6,8388.7,0.4919,0.1546,9296.5,0.4412,64.43,22.437
9018.7,7164.4,0.6961,0.3958,8225.4,0.5212,51.43,23.957
925.4,9238.8,0.4871,0.2261,1385.9,0.3398,31.28,20.438
6314.9,549.6,0.1865,0.0947,11054.1,0.2323,28.86,27.115
8076.8,9800.2,0.8116,0.2707,6613.9,0.4267,57.68,21.438
5851.5,7828.2,0.7612,0.6975,5106.3,0.6099,38.01,27.209
6287.6,6135.4,0.7893,0.759,6478.4,0.6414,30.99,28.681
10306.4,6526.0,0.6736,0.2394,9661.5,0.4888,56.0,22.479
4027.8,9555.8,0.5603,0.504,2698.4,0.3936,34.97,22.759
1621.9,3606.4,0.6691,0.2151,6894.7,0.3401,33.26,21.618
7316.4,4938.5,0.7264,0.609,8047.4,0.6029,34.95,27.178
7922.6,1916.2,0.4055,0.1275,10720.7,0.2212,18.56,23.304
11724.4,5032.4,0.728,0.0959,11594.5,0.3849,54.9,21.046
9866.7,1913.8,0.5706,0.0225,11988.5,0.2298,23.49,21.091
9343.9,10391.1,0.675,0.1165,7844.6,0.3044,59.73,21.031
11314.2,3434.4,0.7699,0.0668,12093.0,0.3203,37.77,21.403
4784.6,1492.6,0.3385,0.2485,9587.6,0.3672,33.11,23.652
3626.9,1114.5,0.3505,0.1891,9623.5,0.2997,33.86,23.42
8319.8,3696.2,0.6679,0.3383,9633.4,0.4933,35.7,23.142
6712.8,5652.0,0.7664,0.7181,7118.7,0.6584,38.03,27.502
6190.2,11955.6,0.7983,0.1917,4910.9,0.324,60.61,20.847
2672.4,7760.8,0.6748,0.4881,2979.5,0.5592,28.87,23.01
7798.3,6828.7,0.7469,0.5911,7290.2,0.6432,44.38,26.014
8128.5,5389.6,0.7522,0.5345,8369.8,0.6137,30.98,25.701
4636.2,884.0,0.2691,0.184,10114.5,0.3352,30.47,25.117
3136.9,1754.4,0.4599,0.2177,8897.5,0.4029,35.49,22.549
11985.1,8453.9,0.3227,0.0626,10682.9,0.3902,56.04,23.784
3173.0,9267.9,0.5197,0.463,2077.7,0.4648,40.25,21.288
1977.0,4466.1,0.7825,0.3088,6052.8,0.4549,29.56,21.555
9398.4,6579.0,0.7114,0.3594,8818.1,0.5381,46.97,23.82
5762.8,1545.8,0.3008,0.2331,9917.2,0.2843,27.03,24.916
11439.8,2079.3,0.631,0.0085,13027.2,0.2968,31.45,21.559
4354.1,9539.3,0.5934,0.5193,3011.4,0.5772,43.33,23.333
7236.4,3415.1,0.5751,0.4169,9116.0,0.4839,26.24,24.418
114.1,9427.4,0.4723,0.1464,1752.4,0.348,29.22,20.324
9218.2,6302.7,0.7336,0.3892,8785.6,0.4891,50.88,22.908
11590.6,773.0,0.4516,0.0,14015.6,0.2185,29.58,21.62
8229.6,6490.9,0.743,0.5382,7833.3,0.6662,47.5,25.79
10047.8,2046.6,0.601,0.0271,12021.9,0.2576,20.45,20.987
1236.3,6181.9,0.713,0.3081,4326.2,0.4748,28.87,21.901
9459.1,5963.3,0.7502,0.3528,9161.3,0.58,49.62,23.676
5167.2,6099.3,0.8418,0.7628,5728.4,0.6625,32.63,28.443
2103.1,3048.7,0.6407,0.2265,7475.7,0.4122,34.77,21.245
10804.5,2886.3,0.7336,0.0586,12022.6,0.2395,31.27,21.565
7956.2,5771.7,0.7527,0.5756,8002.5,0.6396,37.67,25.847
2588.8,8236.6,0.6112,0.4591,2511.6,0.4581,28.5,22.388
3207.0,1058.7,0.3604,0.1692,9594.4,0.3548,36.61,24.195
1863.5,7487.4,0.6704,0.393,3034.5,0.4479,29.5,21.78
7837.0,3013.7,0.5519,0.2921,9808.3,0.3,28.1,22.387
8512.2,8750.5,0.7269,0.3395,7227.2,0.5199,52.82,22.68
744.6,9850.9,0.4476,0.1824,995.9,0.3457,32.73,19.506
11712.4,3529.7,0.7531,0.055,12364.4,0.3021,38.67,21.011
3621.0,8890.1,0.579,0.5302,2662.8,0.5713,32.92,22.692
7882.6,6349.0,0.7501,0.5917,7613.7,0.6215,38.5,26.831
9545.3,10430.7,0.6419,0.1027,8045.6,0.3529,58.78,20.568
10501.1,8102.9,0.5147,0.1718,9314.8,0.4187,61.12,22.072
8471.5,6244.4,0.7458,0.5039,8167.7,0.6281,38.91,24.234
7959.5,11261.3,0.8572,0.1316,6504.2,0.3772,61.69,21.758
5749.0,2218.3,0.4001,0.328,9308.1,0.365,27.84,24.076
4307.7,7155.7,0.7921,0.6932,4366.7,0.6043,33.22,26.076
11452.4,2980.3,0.7308,0.0426,12473.9,0.2167,30.43,20.648
7310.0,589.9,0.2142,0.0378,11487.7,0.2361,25.62,26.229
10283.7,8878.2,0.5103,0.1518,8932.2,0.382,59.22,21.797
10565.1,9610.6,0.46,0.0955,9108.7,0.3114,57.02,20.806
2150.5,11305.1,0.3616,0.2321,1035.0,0.3757,40.83,21.819
2602.2,11370.8,0.3756,0.2624,1404.6,0.3532,44.05,21.95
424.4,6223.6,0.6123,0.2215,4409.6,0.3786,30.43,21.702
1805.9,8111.9,0.6007,0.3693,2407.6,0.4623,22.87,21.061
1384.6,8892.7,0.5162,0.2893,1611.5,0.5169,32.91,20.496
10844.2,496.7,0.412,0.0,13688.7,0.2124,21.6,22.161
11761.5,3111.6,0.7251,0.0391,12644.6,0.247,31.71,21.746
6118.9,2324.7,0.4059,0.327,9389.9,0.3564,26.25,24.126
5357.1,4211.8,0.7334,0.6254,7376.9,0.5758,29.17,26.647
8216.4,10632.2,0.8324,0.1709,6717.7,0.304,51.97,21.704
1488.7,2601.4,0.5407,0.1505,7898.6,0.3151,39.94,21.735
8386.3,6162.6,0.7483,0.5171,8138.4,0.5992,43.94,24.638
5272.8,2870.6,0.5325,0.4346,8511.3,0.4832,38.86,23.265
7869.4,2488.1,0.4814,0.21,10235.3,0.3061,19.88,22.563
9563.4,4918.6,0.7946,0.3014,9806.6,0.4572,38.67,23.027
6580.7,1953.2,0.3482,0.241,9942.9,0.252,24.46,24.304
3663.0,11404.7,0.4627,0.3181,2344.6,0.4107,49.68,20.893
3950.5,4669.1,0.8655,0.5735,6324.9,0.5667,31.22,25.221
2524.8,4131.9,0.799,0.3508,6450.0,0.4205,33.19,22.358
9449.5,3289.6,0.7161,0.1719,10732.4,0.4033,25.78,22.716
4850.2,7224.8,0.787,0.7289,4685.1,0.6547,27.65,27.017
8518.4,141.5,0.2481,0.0,12512.3,0.2002,22.69,25.499
3451.4,6290.4,0.8671,0.6027,4639.9,0.5525,24.68,24.697
3433.5,878.9,0.3296,0.1644,9813.4,0.3131,36.54,24.082
3999.8,11916.1,0.4926,0.2749,2873.0,0.3986,57.99,21.098
6065.1,6420.0,0.7964,0.7681,6122.6,0.7406,37.64,29.293
11061.8,8517.2,0.4215,0.1116,9765.3,0.4189,52.19,21.297
8660.5,585.9,0.3009,0.0,12229.6,0.3378,21.28,24.492
3203.5,1365.8,0.4013,0.1915,9291.7,0.3388,32.51,23.147
449.3,566.2,0.2883,0.0424,9989.2,0.3509,37.72,24.491
5307.3,9397.5,0.6997,0.5395,3963.7,0.5138,42.19,23.346
3477.1,7686.0,0.7129,0.5878,3439.1,0.5221,24.14,23.769
9262.5,9738.9,0.6703,0.1725,7799.7,0.4095,47.07,21.653
4807.2,7505.8,0.7635,0.7116,4461.2,0.5941,34.98,26.575
2234.7,8644.6,0.5535,0.3978,1995.6,0.4624,24.53,21.586
10659.8,6015.3,0.7078,0.2005,10198.8,0.3779,51.16,22.05
9712.1,5835.6,0.7555,0.3154,9444.3,0.5575,45.04,23.51
4105.8,1905.1,0.4417,0.2819,8981.2,0.3832,37.68,23.326
3452.3,3218.4,0.693,0.3749,7538.8,0.5392,30.39,22.781
7438.7,7606.0,0.7556,0.5881,6606.3,0.5949,48.79,26.193
9254.6,6396.8,0.7272,0.3831,8773.3,0.5564,48.77,23.707
8425.3,4850.7,0.7501,0.4541,8937.3,0.513,37.76,24.603
10549.9,10121.3,0.4636,0.0726,9057.8,0.3479,53.72,21.907
7053.6,858.6,0.2283,0.0757,11126.5,0.2316,24.21,25.569
3389.2,7675.9,0.7114,0.5782,3397.7,0.5235,28.63,24.214
7252.8,7071.5,0.7586,0.6496,6696.9,0.6828,47.59,27.164
7732.1,6417.6,0.7518,0.6121,7450.2,0.6425,41.15,26.85
884.9,6867.5,0.6444,0.2799,3684.2,0.4099,28.33,21.529
1176.4,4988.0,0.7093,0.2502,5521.5,0.4644,26.29,22.12
4950.0,294.5,0.1977,0.1271,10772.9,0.3625,29.98,27.215
4053.6,3485.8,0.7143,0.4596,7464.6,0.5267,33.23,23.548
4136.2,8958.1,0.6077,0.5623,3054.0,0.5973,34.33,23.485
5918.6,1822.1,0.3349,0.2631,9738.1,0.3578,23.72,25.087
3795.5,2982.0,0.6422,0.3812,7860.6,0.431,36.62,22.201
2368.2,1127.8,0.3847,0.1348,9412.4,0.3587,33.53,22.042
5260.9,6120.8,0.8369,0.7668,5772.5,0.6475,26.61,28.819
2277.8,9782.0,0.4479,0.3397,1058.5,0.4762,34.15,20.786
8234.8,4836.9,0.7421,0.4798,8799.4,0.5815,41.31,24.722
4753.3,343.5,0.2104,0.1344,10664.8,0.2811,30.57,25.635
4387.7,3806.3,0.7449,0.5249,7290.0,0.5966,28.63,25.618
7143.3,7449.2,0.7611,0.6359,6415.2,0.6673,43.3,26.267
