respondent,item_i,item_j,judgment
14,roads,tenure,0.1667
14,electricity,tenure,0.1429
15,water,sanitation,2.0
15,water,roads,2.0
15,water,electricity,4.0
15,water,tenure,0.5
15,sanitation,roads,2.0
15,sanitation,electricity,3.0
15,sanitation,tenure,0.3333
15,roads,electricity,2.0
15,roads,tenure,0.25
15,electricity,tenure,0.125
16,water,sanitation,2.0
16,water,roads,2.0
16,water,electricity,4.0
16,water,tenure,0.5
16,sanitation,roads,2.0
16,sanitation,electricity,3.0
16,sanitation,tenure,0.3333
16,roads,electricity,2.0
16,roads,tenure,0.2
16,electricity,tenure,0.1429
17,water,sanitation,1.0
17,water,roads,2.0
17,water,electricity,5.0
17,water,tenure,0.5
17,sanitation,roads,1.0
17,sanitation,electricity,3.0
17,sanitation,tenure,0.3333
17,roads,electricity,1.0
17,roads,tenure,0.25
17,electricity,tenure,0.125
18,water,sanitation,2.0
18,water,roads,3.0
18,water,electricity,4.0
18,water,tenure,0.5
18,sanitation,roads,2.0
18,sanitation,electricity,3.0
18,sanitation,tenure,0.3333
18,roads,electricity,1.0
18,roads,tenure,0.25
18,electricity,tenure,0.1429
19,water,sanitation,2.0
19,water,roads,2.0
19,water,electricity,5.0
19,water,tenure,0.5
19,sanitation,roads,1.0
19,sanitation,electricity,4.0
19,sanitation,tenure,0.3333
19,roads,electricity,2.0
19,roads,tenure,0.2
19,electricity,tenure,0.1667
20,water,sanitation,2.0
20,water,roads,3.0
20,water,electricity,6.0
20,water,tenure,0.5
20,sanitation,roads,1.0
20,sanitation,electricity,2.0
20,sanitation,tenure,0.3333
20,roads,electricity,2.0
20,roads,tenure,0.25
20,electricity,tenure,0.125
21,water,sanitation,2.0
21,water,roads,3.0
21,water,electricity,4.0
21,water,tenure,0.5
21,sanitation,roads,2.0
21,sanitation,electricity,3.0
21,sanitation,tenure,0.3333
21,roads,electricity,2.0
21,roads,tenure,0.3333
21,electricity,tenure,0.1667
22,water,sanitation,1.0
22,water,roads,2.0
22,water,electricity,4.0
22,water,tenure,0.5
22,sanitation,roads,1.0
22,sanitation,electricity,3.0
22,sanitation,tenure,0.3333
22,roads,electricity,2.0
22,roads,tenure,0.25
22,electricity,tenure,0.1667
23,water,sanitation,1.0
23,water,roads,3.0
23,water,electricity,5.0
23,water,tenure,0.5
23,sanitation,roads,1.0
23,sanitation,electricity,3.0
23,sanitation,tenure,0.5
23,roads,electricity,1.0
23,roads,tenure,0.2
23,electricity,tenure,0.125
24,water,sanitation,2.0
24,water,roads,2.0
24,water,electricity,4.0
24,water,tenure,1.0
24,sanitation,roads,1.0
24,sanitation,electricity,3.0
24,sanitation,tenure,0.5
24,roads,electricity,2.0
24,roads,tenure,0.1667
24,electricity,tenure,0.1429
25,water,sanitation,2.0
25,water,roads,3.0
25,water,electricity,4.0
25,water,tenure,0.5
25,sanitation,roads,2.0
25,sanitation,electricity,3.0
25,sanitation,tenure,0.3333
25,roads,electricity,2.0
25,roads,tenure,0.25
25,electricity,tenure,0.1667
